author,comment,publishedAt,likeCount
@SusuZee,"Terima kasih sudah merayakan Hari Ayah bareng Zee. Teruslah menginspiraZEE, Pak Damkar ❤️

Inget kata Pak Damkar, jangan sampai tinggi badan jadi penghalang buat gapai cita-cita 🤗",2025-11-13T06:56:57Z,2515
@NicholasYates-o5m,MANTABBBB,2025-12-11T06:53:35Z,0
@aleksasyaa,"BERI KEADILAN BAGI YANG LEBIH PANTAS ‼️‼️‼️
Naikin gaji para DAMKAR🔥🔥🔥",2025-12-10T14:49:00Z,0
@bungadewi7288,jd pengen nongkrong di markas damkar aja biar ketawa terus gue😂,2025-12-10T02:47:46Z,0
@alixadiane7720,Terimakasih damkar atas kerja kerasnya yang ikhlas dalam menolong kami,2025-12-08T19:43:51Z,0
@beld6214,🙏,2025-12-07T18:38:43Z,0
@NurAeni-k6n,"Ke sini gara"" Diera Nathania😁",2025-12-07T15:29:37Z,0
@luffyyoplov,Kerennn bgtt damkarnyaaa👏🏻,2025-12-07T04:41:27Z,0
@trijeni4722,SUPARRR DUPARRRR BIGGGG RESPECT FOR KALIANN KAKAK KAKAK DAMKAR🤩🤩🤩🔥🔥,2025-12-07T02:52:49Z,0
@deesign1000,"Dan institusi satunya ga punya malu kalo jobdesknya diambil orang lain, alias makan gaji buta, ga heran pada melambung perutnya",2025-12-06T09:49:41Z,1
@angelinajessica.p597,Team damkar diperbanyak pls. Kereennn bgt,2025-12-06T04:41:03Z,2
@yupiiioooooo,How cool..,2025-12-05T22:54:00Z,0
@restinurmalasarii,Polisi malu sih kta gw mh,2025-12-05T16:52:17Z,1
@SarahRahayu-yb9nd,❤,2025-12-05T14:56:28Z,0
@EvaYulia-b2b,sehat sehat terus bapak❤,2025-12-05T14:13:17Z,0
@sucins7257,"Bravo Damkar Indonesia, barakallahu fikum!",2025-12-05T11:12:44Z,0
@MadCombiner,kalo lapor polisi harus bikin laporan dulu wkwkwkwk,2025-12-05T10:01:19Z,2
@c0baltblue,"Sejatinya damkar memang fungsinya sebagai institusi serba bisa, terutama karena mereka mempunyai sarana dan peralatan lengkap untuk rescue. Ini suatu hal yang lain tidak punya.",2025-12-05T09:35:39Z,0
@dewiapriyanidihardjo5741,Badan nya bagus bgus klo si biru ini,2025-12-05T02:42:50Z,1
@juan.felix.k.,"1:50 Harusnya pas yang itu masuk gorong-gorong, panggil damkar.",2025-12-05T02:33:25Z,0
@randikadesta1477,Karakter seperti ini bikin negara maju tapi sayang nya yg sbelah krkter nya kek binatang,2025-12-04T20:18:53Z,0
@KhotbahPasaribu,Kesini gara-gara Diera nathania😊,2025-12-04T13:53:40Z,0
@muhamadyusup1181,"Numpang lewat bang, di suruh ngomen sama yang punya tik tok",2025-12-04T12:03:32Z,0
@cintps884,NAIKKAN GAJI DAMKAR,2025-12-03T23:29:22Z,1
@JJHidayat,"""Apapun laporan masyarakat, kita gak akan menganggap remeh.""",2025-12-03T08:05:21Z,0
@alhayumantuke4596,🥺🥺💖💖💖,2025-12-03T04:54:20Z,0
@golordi,"Di Indonesia bnyk tikus berdasi bang, bs ngk ya damkar nya basmi 😄",2025-12-03T04:19:03Z,0
@Ryan_Giggs11,Super Hero di dunia nyata,2025-12-03T03:55:30Z,0
@wahyuteguhlaksono6621,"Episode yang keren, pantes kalo yang nonton lebih dari 1 jt",2025-12-03T02:34:39Z,0
@okefatmawati3734,"Orang2 seasik ini, di instansi yang kerjanya 'asik' bnget. Tapi gajinya gak asik 😢",2025-12-03T00:07:53Z,0
@mjsidik2kd,""" apapun laporan masyarakat, kita gak akan menganggap remeh"" simple tapi dalem! 
Beda ama "" Melindungi, Mengayomi dan Melayani Masyarakat"". Ambigu entah masyarakat mana,",2025-12-03T00:00:29Z,0
@annada00,"Masyarakat memilih damkar sebagai sosok pahlawan bukan karena mereka pandai melepaskan cincin yang nyangkut atau menangkap ular yang masuk ke rumah, tapi karena empati dan skill problem solving mereka.",2025-12-02T23:32:25Z,0
@ABRIYANTO_MV,"Keren,pantes aja masyarakat suka..we love damkar❤❤❤",2025-12-02T11:34:18Z,0
@isfarunainur,Semangat terus buat damkarr,2025-12-02T10:57:17Z,0
@Supyan-g6c,Damn Care 🎉,2025-12-01T22:45:39Z,0
